,start_text,start_index,end_text,end_index,text,timestamp,start,end
11,Doamna Ionela-Cristina Breahnă-Pravăț:,9722,Domnul Virgil Guran:,11193, multumesc domnule presedinte prima interpelare este adresata domnului ministru virgil popescu ministrul energiei si vizeaza o solicitare privind transmiterea motivarii accelerarii reformei de decarbonizare a romaniei domnule ministru am observat cu totii pasii rapizi pe care doriti sa i parcurgeti in privinta decarbonizarii economiei romanesti toate acestea desi vicepresedintele comisiei europene valdis dombrovskis a anuntat ca in contextul crizei energetice si a conflictului din ucraina statele membre pot sa modifice pnrr cu privire la energia verde in situatia in care state precum germania si austria accelereaza procesul de redeschidere si operationalizare a minelor de carbune strategia dumneavoastra este contrarie desi minerii din tara noastra ingroasa randurile somerilor avand in vedere toate aspectele mentionate mai sus va rog sa mi transmiteti prin raspunsul dumneavoastra care este fundamentarea actiunilor de a inchide mine de carbune intr un ritm accelerat desi comisia europeana ne a pasuit in ceea ce priveste implementarea strategiei energiei verzi pe durata crizei generate de conflictul din ucraina va multumesc si in incheiere doresc sa mi raspundeti in scris atat pe adresa personala cat si pe cea a grupului senatorial al partidului social democrat si inca treizeci de secunde maximum un minut domnule presedinte daca mi permiteti ,"(481.52, 578.52)",481.52,578.52
12,Domnul Virgil Guran:,11193,Doamna Ionela-Cristina Breahnă-Pravăț:,11245, va rog daca e foarte scurt ,"(580.52, 580.52)",580.52,580.52
13,Doamna Ionela-Cristina Breahnă-Pravăț:,11245,Domnul Virgil Guran:,12587, da multumesc interpelarea este adresata tot domnului ministru virgil popescu si vizeaza o solicitare privind defalcarea pretului benzinei si motorinei si in acelasi timp solicitarea efectuarii unei analize comparabile a profiturilor inregistrate de companii in perioada doua mii douazeci si unu doua mii douazeci si doi domnule ministru avand in vedere explozia preturilor combustibililor va rog sa mi transmiteti cum este construit pretul carburantilor structura acestuia evident din ce este format si cat la suta din pretul de la pompa a fost reprezentat de profit pentru companiile producatoare in cadrul cercetarii va rog sa aveti in vedere analiza comparabila a constructiei pretului carburantilor de la nivelul mediei anului doua mii douazeci si unu si a mediei aferente primelor cinci luni din anul doua mii douazeci si doi va rog sa mi transmiteti de asemenea daca profitul companiilor a crescut in doua mii douazeci si doi fata de anul doua mii douazeci si unu si cat a reprezentat procentual aceasta crestere in sensul celor exprimate mai sus va rog sa mi transmiteti si care ar fi trebuit sa fie pretul combustibililor de la pompa daca procentul de profit pentru companiile producatoare ar fi ramas constant la nivelul anului doua mii douazeci si unu va multumesc solicit raspuns scris cu consideratie cristina breahna pravat senator psd de bacau va multumesc ,"(582.52, 655.52)",582.52,655.52
14,Domnul Virgil Guran:,12587,Doamna Evdochia Aelenei:,12735, va multumesc si ultimul coleg pentru intrebari interpelari doamna aelenei evdochia una singura va rog da doamna ,"(662.52, 675.52)",662.52,675.52
15,Doamna Evdochia Aelenei:,12735,Domnul Virgil Guran:,13426, da da da da o sa citesc o interpelare adresata domnului ministru al sanatatii alexandru rafila stimate domnule ministru in patru sute douazeci si patru de localitati din romania nu exista niciun medic de familie deficitul este de peste doi zero de astfel de cadre iar multi dintre medicii de familie au acum peste saizeci de ani drept urmare in circa zece ani nu vom mai avea medicina primara va rog domnule ministru sa mi raspundeti daca aveti in vedere acest aspect si ce masuri preconizati sa intreprindeti astept raspuns scris la adresa de e mail evdochia aeleneisenat ro cu respectul cuvenit senator aelenei evdochia circumscriptia nr paisprezece constanta va multumesc ,"(677.52, 705.52)",677.52,705.52
16,Domnul Virgil Guran:,13426,Domnul Cosmin-Marian Poteraș:,14700, multumesc si eu dau citire listei senatorilor care au depus intrebari si interpelari in scris interpelari doamnele si domnii senatori maties gheorghe calin cazanciuc robert marius popa maricel cionoiu nicusor purcarin bianca mihaela mocioalca ion rujan ion cristinel mirea siminica toanchina gheorghe marius bica danut bumb ioan sorin mihail radu mihai darau ambrozie irineu vlad sergiu cosmin ivan dan muresan claudiu marinel lavric sorin mateescu cristian sorin busuioc andrei intrebari doamnele si domnii senatori toanchina marius gheorghe popa maricel genoiu mihail prioteasa ion maties gheorghe calin bogdan florian bodog florian pardon guran virgil bumb ioan sorin bordei cristian palarie stefan dragu dana anca popescu dragos ion costea adrian aelenei evdochia cosma dorinel busuioc andrei mateescu sorin cristian hangan andrei declar inchisa sesiunea de intrebari interpelari de astazi conform programului aprobat continuam cu sesiunea consacrata declaratiilor politice va specific din nou avem saisprezece minute pentru declaratii politice asa ca va rog sa va limitati la doua minute maximum trei minute fiecare dau cuvantul domnului senator poteras cosmin marian ,"(725.52, 839.52)",725.52,839.52
17,Domnul Cosmin-Marian Poteraș:,14700,Domnul Virgil Guran:,16107, va multumesc domnule presedinte de sedinta astazi voi vorbi despre vechimea asimilata a magistratilor inechitate in sistemul de justitie nu toata lumea stie din pacate ca dupa ce un avocat notar jurist si asa mai departe categoria e mult mai larga devine magistrat toata vechimea anterioara in profesie se considera vechime in magistratura cu toate privilegiile care decurg de aici si ma refer in special la cele legate de pensia de serviciu nu exista niciun considerent etic sau moral pentru care acest aspect ar trebui sa se intample doar o dispozitie legala profund incorecta prin aplicarea careia un magistrat cu treizeci de ani vechime in cariera are tratament egal cu unul cu doi ani de magistratura dupa care ne indignam justificat de cate ori apare in presa vreun articol despre un consilier juridic care a fost judecator un an sau doi si se pensioneaza la patruzeci si cinci de ani cu pensie de serviciu urmeaza la vot in senat un proiect de lege care si propune sa extinda categoria celor care ajunsi magistrati beneficiaza de ceea ce se numeste vechime asimilata din fericire proiectul are raport negativ din pacate am ratat si de data aceasta ocazia de a purta o discutie onesta despre statutul magistratilor si despre privilegiile cateodata nemeritate care vin la pachet cu acest statut va multumesc cosmin poteras senator de dolj ,"(852.52, 950.52)",852.52,950.52
18,Domnul Virgil Guran:,16107,Domnul Vasile-Cristian Achiței:,16198, va multumesc are cuvantul domnul senator achitei vasile cristian ,"(272.52, 1697.52)",272.52,1697.52
19,Domnul Vasile-Cristian Achiței:,16198,Domnul Virgil Guran:,19410, multumesc domnule presedinte modernizarea infrastructurii rutiere din judetul botosani trebuie sa continue oamenii cei pe care ii reprezentam in parlament au pe buna dreptate asteptari de la noi sa facem legi bune pentru romani si sa ne asiguram ca facem totul pentru dezvoltarea substantiala a judetelor noastre iar aceasta dezvoltare trebuie sa fie una echilibrata cu o grija deosebita pentru zonele defavorizate care inregistreaza un deficit istoric la acest capitol judetul pe care il reprezint botosani este unul dintre cele care au nevoie de dezvoltare accelerata de aceea mi am concentrat activitatea parlamentara pe promovarea si sustinerea prin toate mijloacele legale avute la dispozitie a prioritatii absolute pe care am identificat o pentru dezvoltarea judetului botosani si anume investitiile in modernizarea infrastructurii rutiere sunt multumit de faptul ca in prezent se modernizeaza pe fonduri europene doua drumuri nationale din judetul botosani dn28b cel care leaga municipiul resedinta de judet de restul tarii prin targu frumos si dn29d care pune in valoare vama cu republica moldova de la stanca costesti prin stefanesti sunt preocupat de evolutia lucrarilor si voi uza de intreaga forta pe care mi o confera pozitia de parlamentar pentru a le finaliza sunt in acelasi timp extrem de determinat de motivat pentru a continua eforturile de modernizare a infrastructurii rutiere botosanene prin promovarea de noi investitii importante in reteaua de drumuri nationale din judetul pe care l reprezint drumul expres botosani suceava varianta ocolitoare a municipiului botosani si varianta ocolitoare a orasului flamanzi finantate prin poim trebuie sa aiba finalizate documentatiile pana in decembrie doua mii douazeci si trei eliminarea celor doua puncte negre de pe drumurile nationale botosanene de la rosiori si baisa trebuie realizata urgent fiind prevazuta si in pnrr siguranta rutiera este o prioritate si atunci cand vine vorba de constructia si reabilitarea podurilor de pe drumurile nationale si atrag atentia ca sase dintre acestea au fost catalogate de experti ca fiind in stare critica sau nesatisfacatoare o alta urgenta pe care ministerul transporturilor si cnair prin directia regionala de drumuri si poduri iasi trebuie sa o rezolve este intocmirea documentatiei si proiectarea reabilitarii unui tronson de trei trei km din dn29d care nu a fost prins in investitia mare de modernizare a acestui drum expertizarea tehnica a drumurilor nationale dn29a varfu campului dorohoi dn29b botosani dorohoi dn29 botosani saveni si dn24c badarai manoleasa prut ca si alocarea de fonduri suficiente pentru lucrarile de intretinere sunt alte prioritati ale perioadei urmatoare pentru infrastructura rutiera botosaneana ca atare in perioada urmatoare imi voi concentra eforturile cu perseverenta pe promovarea proiectelor de investitii si la fel cum am facut si in cazul dn28b si dn29d voi convinge factorii de decizie de necesitatea implementarii tuturor acestor noi proiecte va multumesc senator de botosani cristian achitei ,"(977.52, 1079.52)",977.52,1079.52
20,Domnul Virgil Guran:,19410,Domnul Liviu Brătescu:,19506, multumesc si eu are cuvantul domnul senator bratescu liviu ,"(269.52, 1226.52)",269.52,1226.52
21,Domnul Liviu Brătescu:,19506,Domnul Virgil Guran:,22861, va multumesc domnule presedinte de sedinta doamnelor si domnilor senatori parlamentarii nu fac nici drumuri si nici nu construiesc scoli aceasta nu i impiedica uneori in campaniile electorale sa le promita sunt insa destule lucrurile pe care le pot misca pentru cetatenii pe care ii reprezinta din aceasta importanta demnitate publica ca senator pnl iasi am o datorie importanta fata de moldova si iesenii care ne au dat votul lor pentru a ajunge aici sa le reprezentam interesele romania are la randul ei o datorie enorma fata de moldova si fata de ieseni aceasta vine partial din istoria noastra nationala si partial din trecutul recent cand regiunea noastra a fost privata de mari proiecte de investitii asa ne a prins centenarul marii uniri impreuna regiunile istorice dar atat de departe unele de altele prin lipsa infrastructurii rutiere sau feroviare adecvate autostrada unirii si a7 spitalul regional de urgenta sau institutul regional de boli cardiovasculare sunt proiecte de echipa carora ma voi alatura cu toata forta ele reprezinta baza contractului nostru cu alegatorii si in orice formula guvernamentala sunt nenegociabile oamenii nu mai au rabdare si trebuie sa livram acum in acelasi timp iasiului trebuie sa i se recunoasca statutul de capitala culturala a romaniei si altfel decat prin imnuri si buchete de flori iasiul are nevoie de o infrastructura culturala solida iar aici deja am inceput sa facem pasi mari si concreti personal am contribuit la includerea pe lista de finantari a constructiei unei noi sali de spectacole pentru opera nationala romana iasi in perioada mandatului meu de secretar de stat in ministerul culturii banca de dezvoltare a consiliului europei va finanta printr un imprumut consistent numeroase obiective culturale din romania iar circa cincisprezece milioane de euro sunt destinate operei iesene asadar astazi banii exista pentru acest proiect si este o reusita a echipei liberale iesene nu in ultimul rand trebuie sa ne concentram atentia asupra programului national de investitii anghel saligny unde iasiul se numara printre judetele care vor primi importante fonduri pentru comunitatile locale este meritul primarilor din judetul iasi care au realizat ca este o sansa unica pentru a reusi investitii in canalizare in retele de gaz si in alte obiective vitale care sa aduca aceste localitati in secolul pe care il traim blamat inutil programul anghel saligny este vital in acele zone care nu mai sunt acoperite de fondurile europene sunt restantele noastre istorice este instrumentul prin care acum abia reparam o mare nedreptate facuta prea multor romani care nu au sansa sa locuiasca intr o mare aglomerare urbana care a atins deja standarde europene de trai nu mai putem permite sa avem mai multe romanii in interiorul acelorasi granite nu mai putem permite ca moldova sa fie o regiune subdezvoltata in vreme ce bucurestiul si ilfovul totalizeaza din punct de vedere economic douazeci si cinci din pib ul tarii pe un spatiu geografic restrans boala centralizarii este endemica in romania iar noi reprezentantii iesenilor la bucuresti trebuie sa i gasim leacul astazi nu cand vin data viitoare alegerile va multumesc liviu bratescu senator pnl iasi ,"(1207.52, 1422.52)",1207.52,1422.52
22,Domnul Virgil Guran:,22861,Doamna Ionela-Cristina Breahnă-Pravăț:,22962, multumesc si eu are cuvantul doamna senator breahna pravat ionela cristina ,"(269.52, 2262.52)",269.52,2262.52
23,Doamna Ionela-Cristina Breahnă-Pravăț:,22962,Domnul Virgil Guran:,27028, multumesc foarte mult domnule presedinte declaratia politica de astazi are ca titlu municipiul bacau salvat pana la degradare domnule presedinte stimati colegi dragi bacauani am dat de multe ori glas solicitarilor dumneavoastra care nu vizeaza decat aspecte ce tin de crearea unui context decent de trai in municipiul din care provin solicitari trecute pur si simplu cu vederea de primarul usr si le inteleg pe deplin bacauanilor atat problemele cat si situatiile neplacute intampinate de la momentul instaurarii acestei asa zise salvari fortate salvare care se indreapta cu pasi rapizi spre degradarea totala a municipiului bacau care abia se mai zareste din jungla care pune stapanire pe strazi parcuri si alei domnule primar al municipiului bacau in scurt timp degradarea continua va da nastere altor probleme de ordin sanitar dupa cum ati vazut deja zilele trecute care vor pune vietile cetatenilor in pericol daunatorii isi vor face simtita prezenta in mod frecvent si din ce in ce mai aproape de locuintele si locurile noastre de joaca daca primaria nu va interveni in oras pentru salubrizare iar bacauanii va asigur ca si doresc un oras cu adevarat european asa cum le ati promis de fapt in anul doua mii douazeci dar nu ca la bucuresti sa fie muscati de sobolani pe strazi de asemenea de parca nu ar exista suficiente probleme in municipiul bacau la nivelul primariei sunt blocate in acest moment trei obiective vitale si vorbesc aici despre asa zisul pavilion al spitalului municipal ce necesita un amplu proces de finalizare si chiar modernizare despre rezerva de apa a municipiului bacau si despre reabilitarea aductiunii de apa de la valea uzului in privinta spitalului municipal stiti foarte bine consiliul judetean si a exprimat deja in nenumarate randuri intentia de a prelua administrarea acestuia astfel incat investitiile pentru finalizarea acestui obiectiv sa se deruleze in cel mai scurt timp partidul social democrat intelege necesitatea modernizarii infrastructurii sanitare la nivelul municipiului bacau si personal doresc sa trag un semnal de alarma si sa le reamintesc colegilor liberali din cadrul consiliului local bacau faptul ca rezolvarea acestei probleme sta si in voturile dumnealor care pot vota pentru solutia propusa de catre psd de fapt in scopul binelui bacauanilor o alta problema foarte grava este reprezentata cum spuneam si de rezerva de apa a orasului in urma avariei din luna februarie comitetul judetean pentru situatii de urgenta a decis operationalizarea rezervei de apa un proiect finantat prin pndl un proiect care deja a fost finalizat dar doar pe hartie achitat in integralitate insa complet nefunctional la momentul acesta va spun sincer ca nu stiu cum ar fi mai rau sa credem ca este rea vointa fata de noi cetatenii bacaului sau doar incapacitatea domnului primar viziteu oricare dintre variantele precizate mai inainte aduce grave prejudicii insa nivelului nostru de trai de asemenea declaratia mea politica continua si cu aspecte ce vizeaza reabilitarea aductiunii de apa si faptul ca la momentul acesta domnul primar usr asa zisul salvator al bacaului inca cauta solutii dar nu pentru a finanta reabilitarea aductiunii de apa ci pentru a gasi vinovatii vinovati care provin dintr un mandat incheiat fortat de catre fostul primar pnl in doua mii paisprezece ceea ce nu ne ajuta cu absolut nimic domnule primar trebuie sa cautati solutii de finantare nu vinovati la momentul acesta prin urmare problemele care treneaza asupra primariei bacau s au acutizat recent iar majoritatea sunt cauzate de managementul defectuos al actualei administratii din fruntea institutiei nepasarea si incompetenta au iesit la iveala din spatele sloganurilor populiste lasand loc unei noi imagini unei imagini reale si mult mai ample a celor care au promis cu orice pret salvarea multumesc cristina breahna pravat senator psd de bacau ,"(1438.52, 1693.52)",1438.52,1693.52
24,Domnul Virgil Guran:,27028,Domnul Cristinel-Gabriel Berea:,27163, multumesc are cuvantul domnul senator berea cristinel gabriel daca se poate sa fie scurta sa ne incadram ,"(1697.52, 1703.52)",1697.52,1703.52
25,Domnul Cristinel-Gabriel Berea:,27163,Domnul Virgil Guran:,30244, foarte scurt va multumesc domnule presedinte de sedinta am sa vreau sa va vorbesc astazi despre paralela dintre spirit civic si siguranta rutiera stimati colegi doamnelor si domnilor stiati ca in legea romana gasim sute de articole care nu mai au sens sau utilitate adesea ne intalnim cu erori care nu sunt facute cu rea credinta ci au ramas scrise negru pe alb de a lungul anilor pana cand o situatie le aduce inapoi la lumina acest lucru s a intamplat si in cazul de fata legea aparent normala prezenta si in alte tari europene titreaza faptul ca este obligatoriu ca un autovehicul sa fie echipat cu extinctor doua triunghiuri reflectorizante si trusa medicala de prim ajutor unele tari instituie obligativitatea legii doar in cazul autovehiculelor care transporta pasageri alte state membre includ si autovehiculele private cu toate acestea este ingrijorator faptul ca legea romana lasa loc de interpretare obligand astfel si soferii de mopede si motociclete sa se echipeze cu acest echipament multi dintre ei nici nu stiu despre aceasta obligatie asadar cetatenii romani cad victime ale unei legi pe care nu o cunosc intr un caz recent din judetul cluj a fost mediatizat faptul ca un echipaj de politie folosea acest tip de amenda ca pedeapsa pentru motociclistii asupra carora nu se putea retine o alta ilegalitate acest abuz a fost facilitat de catre o astfel de lege fara utilitate dar inca in vigoare motivatia pentru a pastra o astfel de lege este minima iar motivele pentru a modifica textul sunt numeroase riscurile si complicatiile unui accident al motociclistilor de multe ori nu se pot inlatura prin utilizarea extinctorului a trusei si a triunghiurilor adesea motociclistul se afla intr o situatie in care este grav ranit catapultat la o distanta considerabila de vehicul si avand nevoie de ajutor extern multe dintre vehicule sunt de mici dimensiuni si au spatii limitate pentru depozitare in practica lipsa de spatiu se traduce in necesitatea soferului de a si atasa compartimente suplimentare care pot dezechilibra motocicleta si pot conduce la accidente o alta posibilitate este un ghiozdan pe care soferul sa il poarte in spate in timpul calatoriei in cazul unui accident indiferent de gravitate soferul catapultat de pe motocicleta carand in spate un extinctor se supune unui risc suplimentar de impact cu un obiect contondent este oare spiritul civic de a putea sari in ajutorul altuia mai important decat siguranta proprie consider aceasta lege lipsita de utilitate si cu un impact negativ am depus un proiect de lege care a primit aviz nefavorabil din partea ces sper totusi ca colegii din parlament vor sesiza utilitatea proiectului depus si vor vota in consecinta astept in acelasi timp punctul de vedere al ministerului afacerilor interne deoarece am incredere ca acolo exista specialisti care inteleg particularitatile circulatiei pe doua roti cristi berea senator usr multumesc ,"(1757.52, 1879.52)",1757.52,1879.52
26,Domnul Virgil Guran:,30244,Doamna Evdochia Aelenei:,30445, multumesc si eu doamna aelenei daca e foarte foarte scurta haideti ca daca nu trebuie sa ajungem la plen in trei minute dau cuvantul doamnei senator aelenei evdochia ,"(1891.52, 1893.52)",1891.52,1893.52
27,Doamna Evdochia Aelenei:,30445,Domnul Virgil Guran:,32483, stimate domnule presedinte obiectul declaratiei politice explozia preturilor la carburanti scoate lumea in strada explozia preturilor la carburanti scoate lumea in strada pretul carburantilor se apropie de zece lei pe litru si atinge un nou record pentru piata din romania pretul carburantilor in romania a explodat in ultimele patru luni litrul de motorina a sarit pragul psihologic de noua lei indreptandu se cu pasi repezi spre zece lei jumatate din pretul carburantului de la pompa reprezinta taxe si accize care merg la bugetul statului actuala guvernare pnl psd s a intrecut in primele doua luni ale acestui an in anuntarea unor masuri economice care vor sprijini populatia vulnerabila au fost doar discursuri demagogice populiste fara nicio finalitate in timp ce la noi au fost doar vorbe in ungaria pretul de benzina a fost plafonat de guvern la patru sute optzeci de forinti adica aproximativ sase lei consecinta acestei explozii a preturilor la carburanti este dramatica cresterea acestora se reflecta direct in preturile alimentelor de baza si bunurilor de stricta necesitate iar furia romanilor este de la o zi la alta tot mai mare liderul pietei carburantilor din romania omv petrom a profitat de scumpirea benzinei si mai ales a motorinei si a realizat in primul trimestru o marja de rafinare record de optsprezece treizeci si unu dolari baril mai mult decat dubla fata de cea mai ridicata marja din ultimii ani de opt saptezeci si cinci dolari baril realizata in trimestrul al treilea din doua mii saptesprezece federatia operatorilor romani de transport solicita guvernului romaniei plafonarea preturilor carburantilor la tarife maximale dupa modelul statelor vecine partidul aur avand o propunere legislativa in acest sens pentru a veni in sprijinul romanilor in cazul in care romania nu va reusi sa ia masuri active pentru protejarea populatiei criza economica profunda va avea consecinte nefaste asupra tarii noastre va multumesc senator circumscriptia nr paisprezece constanta aelenei evdochia ,"(1910.52, 2036.52)",1910.52,2036.52
28,Domnul Virgil Guran:,32483,Doamna Diana Iovanovici-Șoșoacă:,32621, multumesc si eu si o foarte foarte foarte scurta declaratie politica doamna senator diana iovanovici sosoaca ,"(269.52, 2262.52)",269.52,2262.52
